Rank,Name,Country,Sales,Profit,Assets,Market_Value,Link
1,Berkshire Hathaway,United States,$276.09 B,$89.8 B,$958.78 B,$741.48 B,https://www.forbes.com/companies/berkshire-hathaway/?list=global2000
2,ICBC,China,$208.13 B,$54.03 B,"$5,518.51 B",$214.43 B,https://www.forbes.com/companies/icbc/?list=global2000
3,Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabia,$400.38 B,$105.36 B,$576.04 B,"2,292.08 B",https://www.forbes.com/companies/saudi-arabian-oil-company-saudi-aramco/?list=global2000
4,JPMorgan Chase,United States,$124.54 B,$42.12 B,"$3,954.69 B",$374.45 B,https://www.forbes.com/companies/jpmorgan-chase/?list=global2000
5,China Construction Bank,China,$202.07 B,$46.89 B,"$4,746.95 B",$181.32 B,https://www.forbes.com/companies/china-construction-bank/?list=global2000
6,Amazon,United States,$469.82 B,$33.36 B,$420.55 B,"1,468.4 B",https://www.forbes.com/companies/amazon/?list=global2000
7,Apple,United States,$378.7 B,$100.56 B,$381.19 B,"2,640.32 B",https://www.forbes.com/companies/apple/?list=global2000
8,Agricultural Bank of China,China,$181.42 B,$37.38 B,"$4,561.05 B",$133.38 B,https://www.forbes.com/companies/agricultural-bank-of-china/?list=global2000
9,Bank of America,United States,$96.83 B,$31 B,"$3,238.22 B",$303.1 B,https://www.forbes.com/companies/bank-of-america/?list=global2000
10,Toyota Motor,Japan,$281.75 B,$28.15 B,$552.46 B,$237.73 B,https://www.forbes.com/companies/toyota-motor/?list=global2000
11,Alphabet,United States,$257.49 B,$76.03 B,$359.27 B,"1,581.72 B",https://www.forbes.com/companies/alphabet/?list=global2000
12,Microsoft,United States,$184.9 B,$71.19 B,$340.39 B,"2,054.37 B",https://www.forbes.com/companies/microsoft/?list=global2000
13,Bank of China,China,$152.43 B,$33.57 B,"$4,192.84 B",$117.83 B,https://www.forbes.com/companies/bank-of-china/?list=global2000
14,Samsung Group,South Korea,$244.16 B,$34.27 B,$358.88 B,$367.26 B,https://www.forbes.com/companies/samsung-electronics/?list=global2000
15,ExxonMobil,United States,$280.51 B,$23.04 B,$338.92 B,$359.73 B,https://www.forbes.com/companies/exxon-mobil/?list=global2000
16,Shell,United Kingdom,$261.76 B,$20.27 B,$404.38 B,$211.1 B,https://www.forbes.com/companies/shell/?list=global2000
17,Ping An Insurance Group,China,$181.37 B,$15.74 B,"$1,587.11 B",$121.69 B,https://www.forbes.com/companies/ping-an-insurance/?list=global2000
18,Wells Fargo,United States,$84.12 B,$20.58 B,"$1,939.71 B",$176.77 B,https://www.forbes.com/companies/wells-fargo/?list=global2000
19,Verizon Communications,United States,$134.35 B,$21.52 B,$366.6 B,$218.02 B,https://www.forbes.com/companies/verizon-communications/?list=global2000
20,AT&T,United States,$163.03 B,$17.33 B,$551.62 B,$141.79 B,https://www.forbes.com/companies/att/?list=global2000
21,PetroChina,China,$380.31 B,$14.29 B,$392.6 B,$142.3 B,https://www.forbes.com/companies/petrochina/?list=global2000
22,UnitedHealth Group,United States,$297.55 B,$17.45 B,$221.24 B,$490.15 B,https://www.forbes.com/companies/unitedhealth-group/?list=global2000
